state,abb,rho,phi,theta,total,rho_per,phi_per,theta_per,latitude,longitude
Arkansas,AR,1.308545754,1.473196716,1.119880929,3.901623399,34,38,28,34.759666,-92.290077
California,CA,2.684309417,1.923401663,0.833353863,5.441064944,49,35,16,38.594334,-121.493797
Connecticut,CT,0.252251,1.095361299,1.318191745,2.665804044,9,41,50,41.770287,-72.686977
Georgia,GA,1.671081749,1.485816612,0.766850745,3.923749107,43,38,19,33.760311,-84.389534
Illinois,IL,0.311010567,1.372161425,1.95092854,3.634100532,9,38,53,39.791655,-89.648552
Indiana,IN,2.012351211,1.777283476,1.160405202,4.950039889,41,36,23,39.779519,-86.155586
Massachusetts,MA,1.768078815,1.424714062,0.527686094,3.720478971,48,38,14,42.372749,-71.061058
Michigan,MI,3.127823212,2.385964335,1.504703519,7.018491067,45,34,21,42.743987,-84.558449
Minnesota,MN,0.401737038,1.158845168,1.28319839,2.843780595,14,41,45,44.958968,-93.086872
New Jersey,NJ,1.179603328,1.381461944,1.012335842,3.573401113,33,39,28,40.222403,-74.741421
Ohio,OH,2.387394342,1.961990641,1.224222229,5.573607212,43,35,22,39.989747,-82.990952
Oregon,OR,0.190578285,1.44142109,2.300180958,3.932180333,5,37,58,44.953623,-123.037376
Wisconsin,WI,2.539856766,1.837296574,0.745265335,5.122418675,50,36,14,43.081928,-89.398613
Colorado,CO,1.397908224,1.34531199,0.472402829,3.215623043,43,42,15,39.75788,-104.984207
New York,NY,0.589987061,1.473670147,1.891391318,3.955048525,15,37,48,42.664261,-73.756828
Pennsylvania,PA,1.196465076,1.525409798,1.092108241,3.813983115,31,40,29,40.28005,-76.883411
Texas,TX,0.764883848,1.297094302,0.982218831,3.044196981,25,43,32,30.297018,-97.738724
Alabama,AL,1.760963771,1.593103645,1.141304784,4.4953722,39,35,26,32.381121,-86.300468
Florida,FL,2.872153082,2.014424692,1.044317353,5.930895127,48,34,18,30.454001,-84.279671
Iowa,IA,1.839575031,1.618268035,1.130037037,4.587880102,40,35,25,41.615442,-93.610497
Mississippi,MS,1.779045049,1.69060288,1.374794592,4.844442521,37,35,28,32.310929,-90.181389
Tennessee,TN,2.132536208,1.674294932,0.936877883,4.743709023,45,35,20,36.193309,-86.785355
Virginia,VA,2.262472031,1.724605076,0.871975857,4.859052964,47,35,18,37.550566,-77.438622
North Carolina,NC,1.052910185,1.404267424,1.623853306,4.081030915,26,34,40,35.808904,-78.636246
Washington,WA,1.241327677,1.380677625,1.396900831,4.018906132,31,34,35,47.044393,-122.900677
Maryland,MD,1.794711563,1.523110728,1.341777585,4.659599876,39,33,28,38.980162,-76.491809
